agency	caseyear	caseseqnr	casedocseq	docdate	sender	recipient	docdesc
Husbanken	2013	11067	9	2015-01-07	Studentsamskipnaden i Oslo og Akershus	Husbanken	Søknad om utbetaling - Pantedokument - Panteattest - Låneavtale - Legitimasjonskontroll - Forsikringsattest
Husbanken	2015	3511	1	2015-02-16	Studentsamskipnaden i Oslo go Akershus	Husbanken	Søknad om lån til studentboliger - Grunnlån oppføring
Arbeidstilsynet	2015	9674	4	2015-02-20	Arbeidstilsynet	Studentsamskipnaden i Oslo og Akershus	Vedtak om samtykke på vilkår og gebyr
Husbanken	2015	3511	2	2015-02-20	Husbanken	Studentsamskipnaden i Oslo go Akershus	Mottatt søknad
Fylkesmannen i Oslo og Akershus	2015	2084	2	2015-02-25	Studentsamskipnaden i Oslo v/Helse	Fylkesmannen i Oslo og Akershus	Legeattest
Husbanken	2015	3511	3	2015-02-26	Husbanken	Studentsamskipnaden i Oslo og Akershus	Godkjenning og utbetaling tilskudd trinn 1 og 2
Husbanken	2015	3511	4	2015-02-26	Husbanken	Studentsamskipnaden i Oslo og Akershus	Tilsagn om grunnlån oppføring
Kunnskapsdepartementet	2014	4938	43	2015-02-27		Studentsamskipnaden i Oslo og Akershus	Tilsagn om tilskudd til studentboliger for 2015
Nasjonal kommunikasjonsmyndighet	2015	1656	1	2015-03-11	Studentsamskipnaden i Oslo		Oppsigelse av PMR-nett -  tillatelse 7959
Nasjonal kommunikasjonsmyndighet	2015	1656	2	2015-03-16		Studentsamskipnaden i Oslo	Bekreftelse på oppsigelse av PMR-tillatelse 7959
Kunnskapsdepartementet	2015	1068	10	2015-03-20	Studentsamskipnaden i Oslo og Akershus		SIO Høringssvar vedr Fri stasjon - rammer og oppfølging
Kunnskapsdepartementet	2015	1068	12	2015-03-20	Studentsamskipnaden i Oslo og Akershus		SIO Høringssvar Fri stasjon Rammer og oppfølging
Husbanken	2013	11067	14	2015-03-23	Studentsamskipnaden i Oslo og Akershus	Husbanken	Tilleggsavtale fastrente
Direktoratet for byggkvalitet	2015	2290	34	2015-04-10	Studentsamskipnaden i Oslo og Akershus	Direktoratet for byggkvalitet	Innspill TEK10
Husbanken	2010	10563	11	2015-05-07	Studentsamskipnaden i Oslo	Husbanken	Søknad om utbetaling
Kunnskapsdepartementet	2008	6475	26	2015-05-12	Studentsamskipnaden i Oslo og Akershus		Rapport fra Samskipnadsrådet
Husbanken	2010	10563	12	2015-05-12	Husbanken	Studentsamskipnaden i Oslo og Akershus	Godkjenning og utbetaling trinn 2
Kunnskapsdepartementet	2015	2086	17	2015-05-13	Studentsamskipnaden i Oslo og Akershus		SIO Årsrapport 2014
Husbanken	2010	10563	13	2015-05-13	Husbanken	Studentsamskipnaden i Oslo og Akershus	Godkjenning og utbetaling trinn 1 og 2 - tilskudd studentboliger - Studentsamskipnaden i Oslo
Husbanken	2010	10563	16	2015-05-21	Husbanken	Studentsamskipnaden i Oslo	Endring av kontonummer for utbetaling av tilskudd
Arbeidstilsynet	2015	28287	1	2015-05-28	Arbeidstilsynet	STUDENTSAMSKIPNADEN I OSLO OG AKERSHUS	Melding om tilsyn
Kunnskapsdepartementet	2015	888	26	2015-06-01	Studentsamskipnaden i Oslo og Akershus		SIO Høringssvar av rapport fra ekspertgruppe Private høyskoler og fagskoler i samfunnets tjeneste
Arbeidstilsynet	2015	28287	2	2015-06-10	Arbeidstilsynet	STUDENTSAMSKIPNADEN I OSLO OG AKERSHUS	Tilsynsrapport med varsel om pålegg
Husbanken	2014	8988	6	2015-06-17	Studentsamskipnaden i Oslo og Akershus	Husbanken	Søknad om utbetaling - låneavtale - pantedokument - legitimasjonskontroll - forsikringsattest
Kunnskapsdepartementet	2015	2103	3	2015-06-25	Studentsamskipnaden i Oslo og Akershus		PL Samskipnadsmøtet  2015 Avklaring
Kunnskapsdepartementet	2015	2103	5	2015-06-25	Studentsamskipnaden i Oslo og Akershus		PL Samskipnadsmøtet 2015 Program
Kunnskapsdepartementet	2014	4938	65	2015-06-30		Studentsamskipnaden i Oslo og Akershus	SIO Statsbudsjettet 2015 Revidert nasjonalbudsjett kap 270 post 75 Tilsagn om tilskudd til studentboliger
Arbeidstilsynet	2015	28287	3	2015-07-02	Arbeidstilsynet	STUDENTSAMSKIPNADEN I OSLO OG AKERSHUS	Tilsyn - vedtak om pålegg
Datatilsynet	2015	748	1	2015-07-08	Studentsamskipnaden i Oslo og Akershus		Søknad om opprettelse av personvernombud - Fritak fra meldeplikten - Studentsanskipnaden i Oslo og Akerhus - SiO Helse - Trude Kolle Martini
Husbanken	2014	8988	8	2015-07-09	Husbanken	Studentsamskipnaden i Oslo og Akershus	Pantedokumt ikke rett prioritet
Datatilsynet	2015	748	2	2015-08-03		Studentsamskipnaden i Oslo og Akershus	Vedtak om opprettelse av personvernombud - Fritak fra meldeplikten - Studentsamskipnaden i Oslo og Akerhus - SiO Helse - Trude Kolle Martini
Husbanken	2014	8988	9	2015-08-07	Studentsamskipnaden i Oslo og Akershus	Husbanken	Panteattest
Utdanningsdirektoratet	2015	3445	1271	2015-08-20	Studentsamskipnaden i Oslo og Akershus SiO	Utdanningsdirektoratet	Høringsuttalelse - Studentsamskipnaden i Oslo og Akershus SiO
Arbeidstilsynet	2015	28287	4	2015-08-21	Studentsamskipnaden i Oslo og Akershus	Arbeidstilsynet	Svar på vedtak om pålegg
Arbeidstilsynet	2015	28287	5	2015-08-27	Arbeidstilsynet	STUDENTSAMSKIPNADEN I OSLO OG AKERSHUS	Tilsyn - oppfyllelse av vedtak
Direktoratet for samfunnssikkerhet og beredskap	2015	9155	1	2015-09-03	Studentsamskipnaden i Oslo og Akershus	Direktoratet for samfunnssikkerhet og beredskap	Søknad om sletting av tilfluktsrom
Kunnskapsdepartementet	2015	2103	6	2015-09-16	Studentsamskipnaden i Oslo og Akershus		Program til Samskipnadsmøtet 2015
Kunnskapsdepartementet	2015	2103	7	2015-09-21	Studentsamskipnaden i Oslo og Akershus		Svar på invitasjon til Samskipnadsmøtet 2015
Kunnskapsdepartementet	2015	2103	8	2015-09-21		Studentsamskipnaden i Oslo og Akershus	Svar på invitasjon til Samskipnadsmøtet 2015
Riksantikvaren - Direktoratet for kulturminneforvaltning	2013	2764	92	2015-10-05	Studentsamskipnaden i Oslo og Akershus		Kristian Ottosens hus - UiO Blindern - Purrer på tilbakemelding fra Riksantikvaren
Riksantikvaren - Direktoratet for kulturminneforvaltning	2013	2764	93	2015-10-06		Studentsamskipnaden i Oslo og Akershus	Kristian Ottosens hus - UiO Blindern - Svar på purring
Direktoratet for samfunnssikkerhet og beredskap	2015	9155	3	2015-10-08	Direktoratet for samfunnssikkerhet og beredskap	Studentsamskipnaden i Oslo og Akershus	Innvilgelse av søknad om sletting av tilfluktsrom
Statsbygg	2009	01830	14	2015-10-15		Studentsamskipnaden i Oslo	Trimveien 6 - varsel om husleieregulering 010116
Statsbygg	2001	00569	79	2015-10-15		Studentsamskipnaden i Oslo	2643 Pilestredet 32 - varsel om husleieregulering 010116
Kunnskapsdepartementet	2015	5233	1	2015-11-01	Studentsamskipnaden i Oslo og Akershus		SIO Innspill til statsbudsjettet 2017
Husbanken	2015	71780	10	2015-11-09	Studentsamskipnaden i Oslo og Akershus	Husbanken	Søknad om tilskudd til nye studentboliger - 2016 - Oslo
Kunnskapsdepartementet	2015	4761	2	2015-11-09	Studentsamskipnaden i Oslo og Akershus		Søknad om tilskudd til studentboligbygging for 2016
Husbanken	2015	71780	4	2015-11-13	Studentsamskipnaden i Oslo og Akershus	Husbanken	Korrigering av søknad om tilskudd til bygging av studentboliger for 2016
Kunnskapsdepartementet	2015	4761	8	2015-11-13	Studentsamskipnaden i Oslo og Akershus		SIO Statsbudsjettet for 2016 Tilskudd til studentboligbygging Korrigerte tall
Arbeidstilsynet	2015	48947	3	2015-11-16	Studentsamskipnaden i Oslo og Akershus	Arbeidstilsynet	Endring av fakturaadresse
Husbanken	2013	10586	16	2015-12-02	Studentsamskipnaden i Oslo og Akershus	Husbanken	Tegninger
Husbanken	2013	10586	17	2015-12-02	Husbanken	Studentsamskipnaden i Oslo og Akershus	Godkjenning og utbetaling trinn 1 og 2
Kommunal- og moderniseringsdepartementet	2015	122	363	2015-12-04	Studentsamskipnaden i Oslo og Akershus		150316 - Invitasjon til Boligmøtet 2016
Husbanken	2013	10586	21	2015-12-04	Husbanken	Studentsamskipnaden i Oslo og Akershus	Godkjenning og utbetaling trinn 3
Husbanken	2010	10563	19	2015-12-08	Studentsamskipnaden i Oslo	Husbanken	Søknad om utbetaling
Husbanken	2015	73896	1	2015-12-08	Studentsamskipnaden i Oslo	Husbanken	Søknad om grunnlån oppføring
Husbanken	2015	74083	1	2015-12-08	Studentsamskipnaden i Oslo	Husbanken	Søknad om utbetaling
Kunnskapsdepartementet	2014	4938	75	2015-12-08	Studentsamskipnaden i Oslo og Akershus		SIO Søknad om omdispnering av tilsagn Tilskudd til studentboligbygging
Husbanken	2010	10563	21	2015-12-10	Husbanken	Studentsamskipnaden i Oslo og Akershus	Godkjenning trinn 3 og utbetaling
Husbanken	2010	10563	25	2015-12-11	Studentsamskipnaden i Oslo og Akershus	Husbanken	Kopi av tinglyst urådighetserklæring
Statsbygg	2001	00569	80	2015-12-11		Studentsamskipnaden i Oslo	2643 Pilestredet Park - regulering av leie 010116 - leieavtale 8468
Kunnskapsdepartementet	2015	5268	4	2015-12-17		Studentsamskipnaden i Oslo og Akershus	Parkeringsrabatt hos Studentsamskipnaden i Oslo og Akershus
Kunnskapsdepartementet	2014	4938	76	2015-12-18		Studentsamskipnaden i Oslo og Akershus	Svar på spørsmål vedrørende omdisponering av tilsagn om tilskudd
