Dok # Dokumentnavn,Virksomhet,Retning,Dok. dato,Opprettet dato
"7739 E1047 Brannalarm OMT 18,24,26 Referat avklarende møte Abil",SE,INN,,02.07.2010
dsø Elektriske,,,,
"7740 E1047 Brannalarm OMT 18, 24 og 26 Referat kontraktsmøte Ab",SE,INN,,02.07.2010
ildsø Elektriske,,,,
"7742 E1047 Brannalarm OMT 18, 24 og 26 Tilbudsinnstilling fra Swe",SE,INN,,02.07.2010
co,,,,
"7743 E1047 Brannalarmanlegg OMT 18, 24 og 26 Referat fra tilbudsb",SE,INN,,02.07.2010
efaring,,,,
"7744 E1047 Brannalarmanlegg OMT 18, 24 og 26 Tilbudsgrunnlag S",SE,INN,,02.07.2010
weco,,,,
"7745 E1047 Brannalarmanlegg OMT 18, 24 og 26",SE,INN,,02.07.2010
8020 UiO 2010 publikasjon forslag: Monthly Moose,SL,INN,,05.08.2010
8039 Søknad UiO-akt 2010-08 Studentmedielandsby,SL,INN,,06.08.2010
"8044 Renhold felleskjøkken, Notat, Afzahl, André",SB,INN,06.08.2010,06.08.2010
8057 UiO 2010 forening forslag: Odontologisk studentutvalg,SL,INN,,06.08.2010
8058 UiO 2010 forening forslag epost: Odontologisk studentutvalg,SL,INN,,06.08.2010
7980 UiO 2010 forening forslag epost: Farmasøyter uten grenser,SL,INN,,02.08.2010
7989 VG1 Ventilasjon GK André,SB,INN,02.08.2010,03.08.2010
"7997 vg1, ventilasjon, måle data, André",SB,INN,03.08.2010,03.08.2010
8017 UiO 2010 forening forslag: Kling Kokos,SL,INN,,05.08.2010
8018 UiO 2010 forening forslag epost: Kling Kokos,SL,INN,,05.08.2010
8019 UiO 2010 publikasjon forslag: Pedagogisk Profil,SL,INN,,05.08.2010
7956 UiO 2010 forening forslag: IAESTE hoveddokument,SL,INN,,26.07.2010
7957 UiO 2010 forening forslag: IAESTE vedlegg ÅB 2009,SL,INN,,26.07.2010
7958 UiO 2010 forening forslag epost: IAESTE,SL,INN,,26.07.2010
7970 Søknad kulturkonsulent,KS,INN,,30.07.2010
7971 Forespørsel fra Byaksjonen,KS,INN,,30.07.2010
7978 UiO 2010 forening forslag: Farmasøyter uten grenser,SL,INN,,02.08.2010
,SiOs postliste 01.07 - 06.08.2010,,,
Dok # Dokumentnavn,Virksomhet,Retning,Dok. dato,Opprettet dato
7950 UiO 2010 forening forslag: DNS kommunikasjonsavd,SL,INN,,26.07.2010
7951 UiO 2010 forening forslag epost: DNS kommunikasjonsavd,SL,INN,,26.07.2010
7952 UiO 2010 enkelttiltak forslag: Alle festers mor,SL,INN,,26.07.2010
7953 UiO 2010 forening forslag: Kulturutvalget,SL,INN,,26.07.2010
7954 UiO 2010 nyskapning forslag: Klubb Kadanza,SL,INN,,26.07.2010
7955 UiO 2010 forening forslag: IAESTE forslagsskjema,SL,INN,,26.07.2010
"7912 Enerhaugen Studenthus, Rapport Hjellnes Consult",SE,INN,,16.07.2010
7914 Leveringsbetingelser Hafslund fjernvarmeavtale kunstgressban,SI,INN,,16.07.2010
e DA,,,,
7946 UiO 2010 nyskapning forslag: Oslo student-TV,SL,INN,,26.07.2010
7947 UiO 2010 nyskapning forslag epost: Oslo Studnet-TV,SL,INN,,26.07.2010
"7948 UiO 2010 forening forslag: Fagutvalget, Inst for spesialped",SL,INN,,26.07.2010
7949 UiO 2010 publikasjon forslag: Etter Lemkin,SL,INN,,26.07.2010
7906 Undertegnet avtale SiO og Alfa & Omega - Prosess for felles or,FELLES_SiO,INN,01.07.2010,15.07.2010
ganisasjonskultur og merkevare - Sammenslåing SiO OAS,,,,
"7907 294 PIL 36 Reafarat særmøte 01, Fjernvarme",SE,INN,,16.07.2010
"7908 294 PIL 36, Adresseliste 01.07.2010",SE,INN,,16.07.2010
7909 294 PIL 36 Referat PM 03,SE,INN,,16.07.2010
7910 294 PIL 36 Tilbud ARK Dørø & Moen,SE,INN,,16.07.2010
"7911 268 Fortetting Bjerke, Tilbud ARK HWR Arkitekter as",SE,INN,,16.07.2010
7898 E1059 prinsipp etterisolering 2,SE,INN,,15.07.2010
7899 E1059 SV102 Gjennomgående murvegg_eksisterende.pdf,SE,INN,,15.07.2010
7900 E1059 SV102 Gjennomgående murvegg_utbedring.pdf,SE,INN,,15.07.2010
7901 Sognsveien 102 - Utbedring av kuldebroer,SE,INN,,15.07.2010
"7903 E1059 SV 102, ordrebekreftelse Rambøll",SE,INN,,15.07.2010
7905 Tilbud prosess for felles organisasjonskultur og merkevare - Sa,FELLES_SiO,INN,10.05.2010,15.07.2010
mmenslåing SiO OAS - Alfa & Omega,,,,
"7889 289 Fortetting Sogn, Referat BM 09",SE,INN,,15.07.2010
,SiOs postliste 01.07 - 06.08.2010,,,
Dok # Dokumentnavn,Virksomhet,Retning,Dok. dato,Opprettet dato
7890 Leveringsavtale Fjernvarme Hafslund Kunstgressbanen DA,SI,INN,,15.07.2010
"7891 289 Fortetting Sogn, Overtagelsesprotokoll JPE 11 og 7",SE,INN,,15.07.2010
"7892 289 Fortetting Sogn, Referat BM 08",SE,INN,,15.07.2010
"7896 189 Domus Athletica, Kunstgressbane, Referat befaring Syntec",SE,INN,,15.07.2010
7897 E1059 Prinsipp etterisolering 1,SE,INN,,15.07.2010
"7874 Forsikringsavtaler EIENDOMMER, forsikringsbeviser for Hele",KS,INN,08.07.2010,13.07.2010
"SiO - Quality Broker, IF -",,,,
"7875 Forsikringsavtaler MIL og ØVRIGE DEKNINGER , forsikringsbe",KS,INN,,13.07.2010
"viser for Hele SiO - Quality Broker, IF -",,,,
7877 Forsikringsavtaler og forsikringsbeviser for hele SiO (Eiendomm,KS,INN,08.07.2010,13.07.2010
"er, øvrige dekninger og selskap og grupper (inkl. Karrieresenter",,,,
"et, Studentboligene, Akademika, Studentbarnehagene, Student",,,,
"kafeene, Studenthelsetjeneste, Studentidretten)",,,,
7886 189 Domus Athletica Testrapport kunstgressbane,SE,INN,,15.07.2010
7887 289 Fortetting Sogn Rapport ferdigbefaring RES 8,SE,INN,,15.07.2010
"7888 289 Fortetting Sogn, Overtagelsesprotokoll RES 8,10 og 28",SE,INN,,15.07.2010
7856 Re: Studentliv og nettfunksjonalitet,SL,INN,,09.07.2010
7857 Lærerpult til nytt kursrom i SiOs kursrom,SL,INN,,09.07.2010
7858 Lærerpult til nytt kursrom i SiOs kursrom,SL,INN,,09.07.2010
7859 Re: Møbler til kursrom og Studentlivs lokaler - tilbud fra Kinnarp,SL,INN,,09.07.2010
s,,,,
7860 288 Utbetaling enøktilskudd Jon P. Erliens vei 4.14,SE,INN,,12.07.2010
"7861 289 Fortetting Sogn, Midlertidig brukstillatelse RES 8-10 fra Osl",SE,INN,,12.07.2010
"o kommune, PBE",,,,
7764 Telleverksavlesning på Xerox maskiner,KS,INN,30.06.2010,02.07.2010
7766 Godkjenning av prosjekt og utbetaling av tilskudd til studentboli,SE,INN,29.06.2010,02.07.2010
"ger, Husbanken",,,,
7767 Info om BDO AS,KS,INN,23.07.2010,02.07.2010
,SiOs postliste 01.07 - 06.08.2010,,,
Dok # Dokumentnavn,Virksomhet,Retning,Dok. dato,Opprettet dato
7768 Generalforsamling 2010 - Spekter,KS,INN,28.07.2010,02.07.2010
7818 Serviceavtale Lydrommet AS,SI,INN,,08.07.2010
7855 Prislistefra Netenviron til SIO studentliv for nettfunksjonalitet.pd,SL,INN,,09.07.2010
f,,,,
7696 Konfigurasjonsoversikt IPTV JPE4-16,SB,UT,01.07.2010,01.07.2010
"7741 E1047 Brannalarm OMT 18, 24 og 26 Bestilling Abildsø Elektris",SE,UT,,02.07.2010
ke as,,,,
7752 Kravspesifikasjon vintervedlikehold SiO,SB,UT,,02.07.2010
7753 Studentliv og nettfunksjonalitet spm til netenviron,SL,UT,,02.07.2010
7759 Sak 2010045908 Lydia - erstatning sykkellås,SB,UT,,02.07.2010
7765 Sak 2010029789 Lydia - erstatning for ødelagt mat pga strømav,SB,UT,,02.07.2010
brudd,,,,
8011 239 Vestgrensa 2 svar på krav om fristforlengelse,SE,UT,05.08.2010,05.08.2010
8038 Angående forespørsel om å sitte i Byaksjonskomiteen i Oslo,KS,UT,,06.08.2010
7927 Søker instruktører til svømmehallen,SI,UT,,21.07.2010
7928 Studentidretten søker instruktører nybakt og gravide,SI,UT,21.07.2010,21.07.2010
7929 Forespørsel til institutter om viktigste eksamensdatoer og innlev,KAR,UT,,21.07.2010
eringsfrister for MA-studenter høst 2010 og vår 2011,,,,
7938 Arbeidslivsdagen ved UiO - Catering på stand - Bestillingsskjem,KAR,UT,,22.07.2010
a,,,,
"7940 Kringsjå, Fjellbirkeland, Ventilasjon, service prisinnhenting, And",SB,UT,23.07.2010,23.07.2010
ré,,,,
8001 292 SOGN 2012 Universell utforming rammesøknader 6 hus,SE,UT,04.08.2010,04.08.2010
7779 Styrerepresentasjon i en fusjonert studentsamskipnad - invitasjo,KS,UT,01.07.2010,05.07.2010
n til møte 19.8.10,,,,
7798 Lydia i OAS,SB,UT,07.07.2010,07.07.2010
7870 Oppslag heis Tullinløkka André,SB,UT,13.07.2010,13.07.2010
7882 Oppslag Heisreparasjon Kringsjå André,SB,UT,14.07.2010,14.07.2010
,SiOs postliste 01.07 - 06.08.2010,,,
Dok # Dokumentnavn,Virksomhet,Retning,Dok. dato,Opprettet dato
7883 292 Sogn 2012 Sykkelparkering pr 14.07.10,SE,UT,14.07.2010,14.07.2010
7916 REMA 1000 Sogn Studentby mulige utvidelser 2010,SE,UT,16.07.2010,16.07.2010
